id,listnum,category,item,rt
B10-gVKbNaY6G,0,animali,cane,10487
B10-gVKbNaY6G,0,animali,gatto,10487
B10-gVKbNaY6G,0,animali,topo,10487
B10-gVKbNaY6G,0,animali,criceto,10487
B10-gVKbNaY6G,0,animali,elefante,10487
B10-gVKbNaY6G,0,animali,giraffa,10487
B10-gVKbNaY6G,0,animali,ghepardo,10487
B10-gVKbNaY6G,0,animali,leone,12887
B10-gVKbNaY6G,0,animali,guardo,16246
B10-gVKbNaY6G,0,animali,opossum,16246
B10-gVKbNaY6G,0,animali,giaguaro,25481
B10-gVKbNaY6G,0,animali,ocelot,25481
B10-gVKbNaY6G,0,animali,koala,25481
B10-gVKbNaY6G,0,animali,canguro,28240
B10-gVKbNaY6G,0,animali,iena,32989
B10-gVKbNaY6G,0,animali,quantè,35719
B10-gVKbNaY6G,0,animali,formica,35719
B10-gVKbNaY6G,0,animali,fringuello,43178
B10-gVKbNaY6G,0,animali,gabbiano,46122
B10-gVKbNaY6G,0,animali,merlo,48796
B10-gVKbNaY6G,0,animali,pettirosso,52515
B10-gVKbNaY6G,0,animali,cimice,54922
B10-gVKbNaY6G,0,animali,ape,58627
B10-gVKbNaY6G,0,animali,vespa,58627
B10-gVKbNaY6G,1,frutta,mela,10352
B10-gVKbNaY6G,1,frutta,banana,10352
B10-gVKbNaY6G,1,frutta,pesca,10352
B10-gVKbNaY6G,1,frutta,susina,10352
B10-gVKbNaY6G,1,frutta,fragola,10352
B10-gVKbNaY6G,1,frutta,ciliegia,10352
B10-gVKbNaY6G,1,frutta,ananas,10352
B10-gVKbNaY6G,1,frutta,mandarancio,14989
B10-gVKbNaY6G,1,frutta,arancia,14989
B10-gVKbNaY6G,1,frutta,mango,18751
B10-gVKbNaY6G,1,frutta,albicocca,25069
B10-gVKbNaY6G,1,frutta,prugna,25069
B10-gVKbNaY6G,1,frutta,papaya,34553
B10-gVKbNaY6G,1,frutta,cocco,40961
B10-gVKbNaY6G,2,verdura,melanzana,8586
B10-gVKbNaY6G,2,verdura,zucchina,8586
B10-gVKbNaY6G,2,verdura,peperone,8586
B10-gVKbNaY6G,2,verdura,cavolfiore,8586
B10-gVKbNaY6G,2,verdura,zucca,18109
B10-gVKbNaY6G,2,verdura,il,22862
B10-gVKbNaY6G,2,verdura,cavolonero,22862
B10-gVKbNaY6G,2,verdura,cavolocappuccio,22862
B10-gVKbNaY6G,2,verdura,verza,58568
B10-gVKbNaY6G,3,animali,elefante,9256
B10-gVKbNaY6G,3,animali,ippopotamo,9256
B10-gVKbNaY6G,3,animali,rinoceronte,9256
B10-gVKbNaY6G,3,animali,leone,9256
B10-gVKbNaY6G,3,animali,tigre,9256
B10-gVKbNaY6G,3,animali,cane,9256
B10-gVKbNaY6G,3,animali,topo,13027
B10-gVKbNaY6G,3,animali,criceto,15957
B10-gVKbNaY6G,3,animali,vino,24137
B10-gVKbNaY6G,3,animali,gabbiano,24137
B10-gVKbNaY6G,3,animali,piccione,24137
B10-gVKbNaY6G,3,animali,pettirosso,24137
B10-gVKbNaY6G,3,animali,merlo,24137
B10-gVKbNaY6G,3,animali,tordo,24137
B10-gVKbNaY6G,3,animali,albatros,26955
B10-gVKbNaY6G,3,animali,facocero,33450
B10-gVKbNaY6G,3,animali,maiale,33450
B10-gVKbNaY6G,3,animali,asino,33450
B10-gVKbNaY6G,3,animali,cavallo,33450
B10-gVKbNaY6G,3,animali,koala,38661
B10-gVKbNaY6G,3,animali,canguro,38661
B10-gVKbNaY6G,3,animali,ape,38661
B10-gVKbNaY6G,3,animali,calabrone,42110
B10-gVKbNaY6G,3,animali,giaguaro,51033
B10-gVKbNaY6G,3,animali,luce,54536
B10-gVKbNaY6G,3,animali,leopardo,54536
B10-gVKbNaY6G,4,frutta,anatra,61237
B10-gVKbNaY6G,4,frutta,oca,61237
B10-gVKbNaY6G,4,frutta,mela,3603
B10-gVKbNaY6G,4,frutta,banana,7482
B10-gVKbNaY6G,4,frutta,ananas,7482
B10-gVKbNaY6G,4,frutta,uva,9966
B10-gVKbNaY6G,4,frutta,papaya,13856
B10-gVKbNaY6G,4,frutta,pesca,19274
B10-gVKbNaY6G,4,frutta,albicocca,19274
B10-gVKbNaY6G,4,frutta,prugna,21666
B10-gVKbNaY6G,4,frutta,melone,25647
B10-gVKbNaY6G,4,frutta,ciliegia,33251
B10-gVKbNaY6G,4,frutta,lampone,49319
B10-gVKbNaY6G,4,frutta,ribes,49319
B10-gVKbNaY6G,5,verdura,melanzana,10624
B10-gVKbNaY6G,5,verdura,zucchina,10624
B10-gVKbNaY6G,5,verdura,zucca,10624
B10-gVKbNaY6G,5,verdura,peperone,10624
B10-gVKbNaY6G,5,verdura,cavoloverza,10624
B10-gVKbNaY6G,0,animali,cane,10311
B10-gVKbNaY6G,0,animali,gatto,10311
B10-gVKbNaY6G,0,animali,topo,10311
B10-gVKbNaY6G,0,animali,ratto,10311
B10-gVKbNaY6G,0,animali,criceto,10311
B10-gVKbNaY6G,0,animali,elefante,10311
B10-gVKbNaY6G,0,animali,rinoceronte,10311
B10-gVKbNaY6G,0,animali,rospo,21154
B10-gVKbNaY6G,0,animali,asino,21154
B10-gVKbNaY6G,0,animali,mulo,21154
B10-gVKbNaY6G,0,animali,cavallo,21154
B10-gVKbNaY6G,0,animali,leopardo,21154
B10-gVKbNaY6G,0,animali,ghepardo,21154
B10-gVKbNaY6G,0,animali,lince,21154
B10-gVKbNaY6G,0,animali,tigre,21154
B10-gVKbNaY6G,0,animali,iena,24155
B10-gVKbNaY6G,0,animali,opossum,28284
B10-gVKbNaY6G,0,animali,londra,28284
B10-gVKbNaY6G,0,animali,gabbiano,33431
B10-gVKbNaY6G,0,animali,piccione,33431
B10-gVKbNaY6G,0,animali,merlo,36759
B10-gVKbNaY6G,0,animali,tordo,36759
B10-gVKbNaY6G,0,animali,pettirosso,42286
B10-gVKbNaY6G,0,animali,carpa,45597
B10-gVKbNaY6G,0,animali,pescerosso,51855
B10-gVKbNaY6G,0,animali,squalobalena,51855
B10-gVKbNaY6G,0,animali,delfino,51855
B10-gVKbNaY6G,0,animali,granchio,58435
B10-gVKbNaY6G,1,frutta,arancia,4489
B10-gVKbNaY6G,1,frutta,mandarancio,8851
B10-gVKbNaY6G,1,frutta,uva,8851
B10-gVKbNaY6G,1,frutta,però,17826
B10-gVKbNaY6G,1,frutta,pesca,17826
B10-gVKbNaY6G,1,frutta,banana,17826
B10-gVKbNaY6G,1,frutta,kiwi,17826
B10-gVKbNaY6G,1,frutta,albicocca,17826
B10-gVKbNaY6G,1,frutta,ribes,19820
B10-gVKbNaY6G,1,frutta,abbassa,22748
B10-gVKbNaY6G,1,frutta,papaya,22748
B10-gVKbNaY6G,1,frutta,limone,30813
B10-gVKbNaY6G,1,frutta,noce,38135
B10-gVKbNaY6G,1,frutta,di,38135
B10-gVKbNaY6G,1,frutta,cocco,38135
B10-gVKbNaY6G,1,frutta,ciliegia,40014
B10-gVKbNaY6G,1,frutta,lampone,43571
B10-gVKbNaY6G,1,frutta,anguria,56360
B10-gVKbNaY6G,1,frutta,melone,56360
B10-gVKbNaY6G,2,verdura,zucca,3567
B10-gVKbNaY6G,2,verdura,melanzana,6055
B10-gVKbNaY6G,2,verdura,cavolonero,10571
B10-gVKbNaY6G,2,verdura,cavolfiore,40946
B10-gVKbNaY6G,2,verdura,cavolettidibruxelles,45569
B10-gVKbNaY6G,3,animali,cane,14783
B10-gVKbNaY6G,3,animali,gatto,14783
B10-gVKbNaY6G,3,animali,topo,14783
B10-gVKbNaY6G,3,animali,ratto,14783
B10-gVKbNaY6G,3,animali,criceto,14783
B10-gVKbNaY6G,3,animali,elefante,14783
B10-gVKbNaY6G,3,animali,rinoceronte,14783
B10-gVKbNaY6G,3,animali,ippopotamo,14783
B10-gVKbNaY6G,3,animali,lince,14783
B10-gVKbNaY6G,3,animali,giaguaro,14783
B10-gVKbNaY6G,3,animali,ghepardo,27639
B10-gVKbNaY6G,3,animali,leopardo,27639
B10-gVKbNaY6G,3,animali,leone,27639
B10-gVKbNaY6G,3,animali,tigre,27639
B10-gVKbNaY6G,3,animali,iena,27639
B10-gVKbNaY6G,3,animali,carpa,27639
B10-gVKbNaY6G,3,animali,trota,27639
B10-gVKbNaY6G,3,animali,balena,27639
B10-gVKbNaY6G,3,animali,delfino,27639
B10-gVKbNaY6G,3,animali,rospo,30718
B10-gVKbNaY6G,3,animali,tordo,32564
B10-gVKbNaY6G,3,animali,corvo,35720
B10-gVKbNaY6G,3,animali,piccione,38750
B10-gVKbNaY6G,3,animali,pettirosso,41835
B10-gVKbNaY6G,3,animali,giraffa,46681
B10-gVKbNaY6G,3,animali,opossum,49718
B10-gVKbNaY6G,3,animali,koala,53726
B10-gVKbNaY6G,3,animali,gibbone,58411
B10-gVKbNaY6G,3,animali,orango,60916
B10-gVKbNaY6G,4,frutta,mela,3163
B10-gVKbNaY6G,4,frutta,banana,5610
B10-gVKbNaY6G,4,frutta,lampone,7247
B10-gVKbNaY6G,4,frutta,cocco,12528
B10-gVKbNaY6G,4,frutta,pesca,15990
B10-gVKbNaY6G,4,frutta,albicocca,19637
B10-gVKbNaY6G,4,frutta,susina,19637
B10-gVKbNaY6G,4,frutta,melone,22321
B10-gVKbNaY6G,4,frutta,anguria,24440
B10-gVKbNaY6G,4,frutta,uva,42614
B10-gVKbNaY6G,4,frutta,fragola,56297
B10-gVKbNaY6G,4,frutta,ciliegia,58690
B10-gVKbNaY6G,5,verdura,peperone,5773
B10-gVKbNaY6G,5,verdura,melanzana,5773
B10-gVKbNaY6G,5,verdura,zucchina,8150
B10-gVKbNaY6G,5,verdura,cavolettidibruxelles,11614
B10-gVKbNaY6G,5,verdura,cavolfiore,14582
B10-gVKbNaY6G,5,verdura,cavolocappuccio,19441
B10-gVKbNaY6G,5,verdura,cavoloverza,19441
B10-gVKbNaY6G,5,verdura,mo,21113
B10-gVKbNaY6G,5,verdura,esco,21113
B10-gVKbNaY6G,5,verdura,lattuga,37375
B10-gVKbNaY6G,5,verdura,cicoria,41291
B10-gVKbNaY6G,5,verdura,rucola,41291
B10-gVKbNaY6G,5,verdura,iceberg,45252
B10-gVKbNaY6G,5,verdura,bietola,56348
B10-gVKbNaY6G,5,verdura,cetriolo,58733
MP-Z1fUZb7tt,0,animali,cavallo,12776
MP-Z1fUZb7tt,0,animali,maiale,12776
MP-Z1fUZb7tt,0,animali,asino,12776
MP-Z1fUZb7tt,2,verdura,allora,3058
MP-Z1fUZb7tt,2,verdura,bietole,6984
MP-Z1fUZb7tt,2,verdura,sedano,16332
MP-Z1fUZb7tt,3,animali,semi,61233
MP-Z1fUZb7tt,3,animali,allora,7220
MP-Z1fUZb7tt,3,animali,cavallo,7220
MP-Z1fUZb7tt,3,animali,asino,7220
MP-Z1fUZb7tt,4,frutta,limone,33431
MP-Z1fUZb7tt,5,verdura,pomodori,61199
MP-Z1fUZb7tt,5,verdura,eccetera,61199
PNRR-CA-ED-rixI7hHV3,0,animali,cane,51918
PNRR-CA-ED-rixI7hHV3,1,frutta,pera,22393
PNRR-CA-ED-rixI7hHV3,3,animali,gatto,23024
PNRR-CA-ED-rixI7hHV3,3,animali,cane,23024
PNRR-CA-FM-opQYDF3T5,0,animali,tigre,8103
PNRR-CA-FM-opQYDF3T5,0,animali,leone,8103
PNRR-CA-FM-opQYDF3T5,0,animali,gatto,15905
PNRR-CA-FM-opQYDF3T5,0,animali,ghepardo,15905
PNRR-CA-FM-opQYDF3T5,0,animali,leopardo,15905
PNRR-CA-FM-opQYDF3T5,0,animali,lince,18764
PNRR-CA-FM-opQYDF3T5,0,animali,balena,56346
PNRR-CA-FM-opQYDF3T5,0,animali,delfino,56346
PNRR-CA-FM-opQYDF3T5,1,frutta,kiwi,13028
PNRR-CA-FM-opQYDF3T5,1,frutta,ciliegia,21901
PNRR-CA-FM-opQYDF3T5,1,frutta,melone,21901
PNRR-CA-FM-opQYDF3T5,1,frutta,anguria,21901
PNRR-CA-FM-opQYDF3T5,1,frutta,pera,21901
PNRR-CA-FM-opQYDF3T5,2,verdura,prezzemolo,11801
PNRR-CA-FM-opQYDF3T5,2,verdura,cipolla,11801
PNRR-CA-FM-opQYDF3T5,2,verdura,aglio,11801
PNRR-CA-FM-opQYDF3T5,2,verdura,lattuga,16285
PNRR-CA-FM-opQYDF3T5,2,verdura,iceberg,22268
PNRR-CA-FM-opQYDF3T5,2,verdura,bietola,25246
PNRR-CA-FM-opQYDF3T5,2,verdura,carota,33041
PNRR-CA-FM-opQYDF3T5,2,verdura,pomodori,52667
PNRR-CA-FM-opQYDF3T5,2,verdura,belga,58472
PNRR-CA-FM-opQYDF3T5,3,animali,tigre,5478
PNRR-CA-FM-opQYDF3T5,3,animali,gatto,8148
PNRR-CA-FM-opQYDF3T5,3,animali,cane,13670
PNRR-CA-FM-opQYDF3T5,3,animali,leone,18326
PNRR-CA-FM-opQYDF3T5,3,animali,gattopardo,19995
PNRR-CA-FM-opQYDF3T5,3,animali,lince,22617
PNRR-CA-FM-opQYDF3T5,3,animali,elefante,24865
PNRR-CA-FM-opQYDF3T5,3,animali,giraffa,31157
PNRR-CA-FM-opQYDF3T5,3,animali,delfino,37229
PNRR-CA-FM-opQYDF3T5,3,animali,capodoglio,41333
PNRR-CA-FM-opQYDF3T5,3,animali,squalo,43942
PNRR-CA-FM-opQYDF3T5,3,animali,tartaruga,50274
PNRR-CA-FM-opQYDF3T5,3,animali,orata,60058
PNRR-CA-FM-opQYDF3T5,3,animali,spigola,60058
PNRR-CA-FM-opQYDF3T5,4,frutta,mela,5948
PNRR-CA-FM-opQYDF3T5,4,frutta,pera,5948
PNRR-CA-FM-opQYDF3T5,4,frutta,banana,5948
PNRR-CA-FM-opQYDF3T5,4,frutta,cachi,14554
PNRR-CA-FM-opQYDF3T5,4,frutta,kiwi,14554
PNRR-CA-FM-opQYDF3T5,4,frutta,mandarino,17547
PNRR-CA-FM-opQYDF3T5,4,frutta,clementino,17547
PNRR-CA-FM-opQYDF3T5,5,verdura,bietola,6262
PNRR-CA-FM-opQYDF3T5,5,verdura,carota,14076
PNRR-CA-FM-opQYDF3T5,5,verdura,sedano,14076
PNRR-CA-FM-opQYDF3T5,5,verdura,finocchi,19622
PNRR-CA-FM-opQYDF3T5,5,verdura,pomodori,29697
PNRR-CA-FM-opQYDF3T5,5,verdura,barbabietola,36243
PNRR-CA-AG-NVUuOHgdY,0,animali,formica,6282
PNRR-CA-AG-NVUuOHgdY,0,animali,zanzara,6282
PNRR-CA-AG-NVUuOHgdY,0,animali,ape,6282
PNRR-CA-AG-NVUuOHgdY,0,animali,cavalletta,6282
PNRR-CA-AG-NVUuOHgdY,0,animali,lucertola,10612
PNRR-CA-AG-NVUuOHgdY,0,animali,mantide,10612
PNRR-CA-AG-NVUuOHgdY,0,animali,religio,10612
PNRR-CA-AG-NVUuOHgdY,0,animali,specifico,24670
PNRR-CA-AG-NVUuOHgdY,0,animali,gabbiano,24670
PNRR-CA-AG-NVUuOHgdY,0,animali,rondine,28926
PNRR-CA-AG-NVUuOHgdY,0,animali,tordo,28926
PNRR-CA-AG-NVUuOHgdY,0,animali,sgombro,31979
PNRR-CA-AG-NVUuOHgdY,0,animali,mantide,34996
PNRR-CA-AG-NVUuOHgdY,0,animali,religio,34996
PNRR-CA-AG-NVUuOHgdY,0,animali,cavallo,40256
PNRR-CA-AG-NVUuOHgdY,0,animali,gatto,40256
PNRR-CA-AG-NVUuOHgdY,0,animali,cane,40256
PNRR-CA-AG-NVUuOHgdY,0,animali,giaguaro,54029
PNRR-CA-AG-NVUuOHgdY,0,animali,zebra,54029
PNRR-CA-AG-NVUuOHgdY,0,animali,leone,54029
PNRR-CA-AG-NVUuOHgdY,0,animali,ghepardo,54029
PNRR-CA-AG-NVUuOHgdY,0,animali,scimmia,54029
PNRR-CA-AG-NVUuOHgdY,0,animali,lemure,57271
PNRR-CA-AG-NVUuOHgdY,1,frutta,millepiedi,61096
PNRR-CA-AG-NVUuOHgdY,1,frutta,banana,5215
PNRR-CA-AG-NVUuOHgdY,1,frutta,limone,5215
PNRR-CA-AG-NVUuOHgdY,1,frutta,kiwi,5215
PNRR-CA-AG-NVUuOHgdY,1,frutta,fragola,7732
PNRR-CA-AG-NVUuOHgdY,1,frutta,ciliegia,7732
PNRR-CA-AG-NVUuOHgdY,1,frutta,pesca,13707
PNRR-CA-AG-NVUuOHgdY,1,frutta,limone,13707
PNRR-CA-AG-NVUuOHgdY,1,frutta,era,18082
PNRR-CA-AG-NVUuOHgdY,1,frutta,mela,18082
PNRR-CA-AG-NVUuOHgdY,1,frutta,albicocca,18082
PNRR-CA-AG-NVUuOHgdY,1,frutta,uva,36806
PNRR-CA-AG-NVUuOHgdY,1,frutta,dici,50240
PNRR-CA-AG-NVUuOHgdY,1,frutta,mango,50240
PNRR-CA-AG-NVUuOHgdY,1,frutta,papaya,50240
PNRR-CA-AG-NVUuOHgdY,1,frutta,avocado,54969
PNRR-CA-AG-NVUuOHgdY,2,verdura,carote,8210
PNRR-CA-AG-NVUuOHgdY,2,verdura,pomodori,8210
PNRR-CA-AG-NVUuOHgdY,2,verdura,lattuga,8210
PNRR-CA-AG-NVUuOHgdY,2,verdura,zucchina,25174
PNRR-CA-AG-NVUuOHgdY,2,verdura,melanzana,25174
PNRR-CA-AG-NVUuOHgdY,2,verdura,carota,25174
PNRR-CA-AG-NVUuOHgdY,2,verdura,pomodoro,25174
PNRR-CA-AG-NVUuOHgdY,2,verdura,la,40827
PNRR-CA-AG-NVUuOHgdY,2,verdura,cipolla,40827
PNRR-CA-AG-NVUuOHgdY,2,verdura,sedano,40827
PNRR-CA-AG-NVUuOHgdY,2,verdura,il,55840
PNRR-CA-AG-NVUuOHgdY,2,verdura,cavolo,55840
PNRR-CA-AG-NVUuOHgdY,2,verdura,la,55840
PNRR-CA-AG-NVUuOHgdY,2,verdura,verza,55840
PNRR-CA-AG-NVUuOHgdY,3,animali,melanzana,61179
PNRR-CA-AG-NVUuOHgdY,3,animali,cinghiale,10654
PNRR-CA-AG-NVUuOHgdY,3,animali,maiale,10654
PNRR-CA-AG-NVUuOHgdY,3,animali,mucca,10654
PNRR-CA-AG-NVUuOHgdY,3,animali,cavallo,10654
PNRR-CA-AG-NVUuOHgdY,3,animali,cane,10654
PNRR-CA-AG-NVUuOHgdY,3,animali,gatto,10654
PNRR-CA-AG-NVUuOHgdY,3,animali,rondine,17381
PNRR-CA-AG-NVUuOHgdY,3,animali,aquila,17381
PNRR-CA-AG-NVUuOHgdY,3,animali,falco,17381
PNRR-CA-AG-NVUuOHgdY,3,animali,leone,30110
