id,category,cluster_switch_static,cluster_switch_fluid,switch_rate_static,cluster_size_static,cluster_size_fluid,perseverations,perseveration_words,intrusions,intrusion_words,avg_word_frequency,missing_word_freq_items,avg_aoa,missing_aoa_items
B10-gVKbNaY6G,animali,30.5,28.0,0.3853932584269663,2.198782961460446,2.387694145758662,23.0,"[[""gatto"", ""quant\u00e8"", ""merlo"", ""criceto"", ""ghepardo"", ""cane"", ""pettirosso"", ""iena"", ""opossum"", ""leone"", ""topo"", ""gabbiano"", ""formica"", ""elefante"", ""piccione""], [""rinoceronte"", ""koala"", ""albatros"", ""criceto"", ""orango"", ""pettirosso"", ""giaguaro"", ""tordo"", ""merlo"", ""tigre"", ""ghepardo"", ""leopardo"", ""gatto"", ""delfino"", ""cane"", ""leone"", ""topo"", ""gabbiano"", ""elefante"", ""piccione"", ""ippopotamo""]]",10.0,"[[""guardo"", ""quant\u00e8"", ""fringuello"", ""londra"", ""quant\u00e8"", ""linter"", ""albatros"", ""lumaca"", ""orango""], [""vino"", ""albatros"", ""luce"", ""orango"", ""albatros"", ""orango"", ""cri"", ""lumaca"", ""daino"", ""penna"", ""manda""]]",0.8547423756019261,[],7.216736111111111,"[""albatros"", ""alce"", ""aquila"", ""asino"", ""balena"", ""caimano"", ""calabrone"", ""canguro"", ""carpa"", ""cavallo"", ""cernia"", ""cervo"", ""cimice"", ""coccodrillo"", ""corvo"", ""cri"", ""criceto"", ""daino"", ""delfino"", ""elefante"", ""facocero"", ""falco"", ""formica"", ""fringuello"", ""gabbiano"", ""gatto"", ""ghepardo"", ""giaguaro"", ""gibbone"", ""giraffa"", ""granchio"", ""guardo"", ""iena"", ""ippopotamo"", ""leone"", ""leopardo"", ""lince"", ""linter"", ""londra"", ""luce"", ""lumaca"", ""lupo"", ""macaco"", ""maiale"", ""manda"", ""merlo"", ""mulo"", ""nutria"", ""orango"", ""passero"", ""penna"", ""pescerosso"", ""pettirosso"", ""piccione"", ""quant\u00e8"", ""ratto"", ""rinoceronte"", ""rospo"", ""scimmia"", ""squalobalena"", ""tartaruga"", ""tigre"", ""tonno"", ""topo"", ""tordo"", ""trota"", ""vespa"", ""vino""]"
MP-Z1fUZb7tt,animali,0.0,0.0,0.0,2.5,2.5,0.0,"[[], []]",1.0,"[[], [""semi"", ""allora""]]",0.72875,[],8.85,"[""allora"", ""asino"", ""cavallo"", ""maiale""]"
PNRR-CA-AG-NVUuOHgdY,animali,7.5,7.5,0.36231884057971014,2.071428571428571,2.071428571428571,1.0,"[[""religio"", ""mantide""], []]",3.0,"[[""religio"", ""specifico"", ""religio""], [""melanzana"", ""della"", ""terni""]]",1.1377053140096618,[],6.156666666666666,"[""aquila"", ""cavalletta"", ""cavallo"", ""cinghiale"", ""della"", ""falco"", ""formica"", ""gabbiano"", ""gatto"", ""ghepardo"", ""giaguaro"", ""lemure"", ""leone"", ""lucertola"", ""maiale"", ""mantide"", ""melanzana"", ""millepiedi"", ""mucca"", ""religio"", ""rondine"", ""scimmia"", ""serpente"", ""sgombro"", ""specifico"", ""terni"", ""tigre"", ""tordo"", ""zanzara""]"
PNRR-CA-ED-rixI7hHV3,animali,0.0,0.0,0.0,1.5,1.5,0.0,"[[], []]",0.0,"[[], []]",6.3725000000000005,[],5.74,"[""gatto""]"
PNRR-CA-FM-opQYDF3T5,animali,9.5,7.5,0.365987460815047,2.3653846153846154,2.861111111111111,4.0,"[[""gatto"", ""balena"", ""tigre"", ""leone""], [""gatto"", ""orata"", ""tigre""]]",1.0,"[[""conta"", ""s\u00ec""], []]",0.635,[],5.74,"[""balena"", ""bradipo"", ""branzino"", ""capodoglio"", ""coleottero"", ""coniglio"", ""conta"", ""delfino"", ""elefante"", ""farfalla"", ""formica"", ""gallina"", ""gatto"", ""gattopardo"", ""ghepardo"", ""giraffa"", ""ippopotamo"", ""leone"", ""leopardo"", ""lepre"", ""lince"", ""orata"", ""orso"", ""pantera"", ""pappagallo"", ""spigola"", ""squalo"", ""squalobalena"", ""s\u00ec"", ""tacchino"", ""talpa"", ""tartaruga"", ""tigre"", ""triglia"", ""uccello""]"
PNRR-CA-GF-47wm7VCAS,animali,8.0,7.5,0.37444444444444447,2.0375,2.1597222222222223,2.0,"[[""cinghiale"", ""serpente"", ""volpe""], [""tigre""]]",3.0,"[[""e"", ""poi"", ""abbiamo""], [""amore"", ""serpenti"", ""scimpanz\u00e8""]]",0.7934777777777777,[],7.445,"[""abbiamo"", ""amore"", ""aquila"", ""asino"", ""bisonte"", ""cavallo"", ""cinghiale"", ""coccodrillo"", ""colomba"", ""coniglio"", ""e"", ""elefante"", ""gallina"", ""gatto"", ""leone"", ""leopardo"", ""lepre"", ""maiale"", ""mulo"", ""pappagallo"", ""passero"", ""pecora"", ""pesce"", ""scimmia"", ""scimpanz\u00e8"", ""serpente"", ""serpentetigre"", ""serpenti"", ""tigre"", ""volpe""]"
PNRR-FE-PNRRFE056-97kH9yAVv,animali,8.0,7.5,0.4092071611253197,1.9444444444444444,2.0555555555555554,2.5,"[[""giraffa""], [""e"", ""coccodrillo"", ""canguro""]]",2.5,"[[""vediamo""], [""e"", ""imu"", ""e"", ""bello""]]",0.9913682864450128,[],5.265000000000001,"[""asino"", ""bello"", ""bruco"", ""canguro"", ""capra"", ""carpa"", ""cavallo"", ""cervo"", ""coccodrillo"", ""criceto"", ""e"", ""elefante"", ""gatto"", ""giraffa"", ""imu"", ""ippopotamo"", ""leone"", ""rana"", ""rinoceronte"", ""serpente"", ""stambecco"", ""tigre"", ""topo"", ""vediamo"", ""verme""]"
B10-gVKbNaY6G,frutta,17.5,17.5,0.4357142857142857,1.5807453416149069,1.5807453416149069,13.5,"[[""cocco"", ""ribes"", ""mela"", ""albicocca"", ""papaya"", ""mandarancio"", ""banana"", ""arancia"", ""ciliegia"", ""pesca""], [""uva"", ""mela"", ""albicocca"", ""banana"", ""ciliegia"", ""pesca"", ""lampone"", ""melone""]]",11.5,"[[""ananas"", ""mandarancio"", ""mandarancio"", ""per\u00f2"", ""ribes"", ""abbassa"", ""noce"", ""di"", ""anguria"", ""melone"", ""ribes"", ""susino"", ""fragole"", ""mirtilli""], [""anatra"", ""oca"", ""ananas"", ""melone"", ""ribes"", ""melone"", ""anguria"", ""vai"", ""a""]]",293.01992532467534,[],6.4939583333333335,"[""abbassa"", ""albicocca"", ""ananas"", ""anatra"", ""anguria"", ""arancia"", ""ciliegia"", ""cocco"", ""di"", ""fragola"", ""fragole"", ""lampone"", ""limone"", ""mandarancio"", ""mela"", ""melone"", ""mirtilli"", ""mora"", ""nespola"", ""noce"", ""oca"", ""per\u00f2"", ""pesca"", ""prugna"", ""ribes"", ""susina"", ""susino"", ""uva"", ""vai""]"
MP-Z1fUZb7tt,frutta,0.0,0.0,0.0,1.0,1.0,0.0,[[]],0.0,[[]],0.5,[],,"[""limone""]"
PNRR-CA-AG-NVUuOHgdY,frutta,7.5,7.5,0.5539772727272727,1.3642857142857143,1.3642857142857143,0.5,"[[""limone""], []]",2.0,"[[""millepiedi"", ""era"", ""dici""], [""pompia""]]",1.5334375000000002,[],9.055833333333334,"[""albicocca"", ""arancia"", ""ciliegia"", ""dici"", ""fragola"", ""lampone"", ""limone"", ""mandarino"", ""mela"", ""millepiedi"", ""pesca"", ""pompia"", ""uva""]"
PNRR-CA-ED-rixI7hHV3,frutta,0.0,0.0,0.0,1.0,1.0,0.0,[[]],0.0,[[]],0.5,[],,"[""pera""]"
PNRR-CA-FM-opQYDF3T5,frutta,7.5,7.5,0.5357142857142857,1.3142857142857143,1.3142857142857143,3.0,"[[""kiwi"", ""pera""], [""kiwi"", ""mela"", ""pera"", ""banana""]]",3.0,"[[""melone"", ""anguria"", ""ananas"", ""noce""], [""clementino"", ""anguria""]]",1.270714285714286,[],6.615,"[""ananas"", ""anguria"", ""arancia"", ""cachi"", ""ciliegia"", ""clementino"", ""mandarino"", ""mela"", ""melone"", ""noce"", ""pera"", ""pesca"", ""susina"", ""uva""]"
PNRR-CA-GF-47wm7VCAS,frutta,4.0,4.0,0.36363636363636365,1.4,1.4,0.0,[[]],4.0,"[[""arancio"", ""ananas"", ""palline"", ""neri""]]",1.4554545454545456,[],5.67,"[""ananas"", ""arancio"", ""fragola"", ""limone"", ""mela"", ""neri"", ""palline"", ""pera"", ""uva""]"
PNRR-FE-PNRRFE056-97kH9yAVv,frutta,2.0,2.0,0.19090909090909092,2.666666666666667,2.666666666666667,2.0,"[[""albicocca"", ""lampone""], [""fragola""]]",2.5,"[[""poi""], [""\u00e8"", ""diverso"", ""bicocca"", ""caco""]]",1.468,[],5.975,"[""albicocca"", ""bicocca"", ""caco"", ""ciliegia"", ""diverso"", ""fragola"", ""lampone"", ""mela"", ""pera"", ""\u00e8""]"
B10-gVKbNaY6G,verdura,14.0,14.0,0.5550986842105263,1.5138888888888888,1.5138888888888888,7.0,"[[""cavolonero"", ""melanzana"", ""cavolettidibruxelles"", ""cavolfiore"", ""zucca""], [""melanzana"", ""cavoloverza"", ""zucchina"", ""cavolettidibruxelles"", ""peperone"", ""cavolocappuccio"", ""cavolfiore"", ""cipolla""]]",2.5,"[[""il"", ""asparago""], [""mo"", ""esco"", ""iceberg""]]",0.5203125,[],8.21,"[""aglio"", ""asparago"", ""bietola"", ""broccolo"", ""carota"", ""cavolettidibruxelles"", ""cavolfiore"", ""cavolo"", ""cavolocappuccio"", ""cavolonero"", ""cavoloverza"", ""cetriolo"", ""cicoria"", ""cipolla"", ""esco"", ""il"", ""lattuga"", ""melanzana"", ""mo"", ""peperone"", ""pomodoro"", ""porro"", ""rucola"", ""sedano"", ""verza"", ""zucca"", ""zucchina""]"
MP-Z1fUZb7tt,verdura,-0.5,-0.5,-0.25,,,0.0,"[[], []]",2.0,"[[""allora"", ""bietole""], [""pomodori"", ""eccetera""]]",0.5,[],,"[""allora"", ""bietole"", ""eccetera"", ""pomodori"", ""sedano""]"
PNRR-CA-AG-NVUuOHgdY,verdura,5.5,5.5,0.45,1.1625,1.1625,0.5,"[[""la""], []]",4.5,"[[""carote"", ""pomodori"", ""la"", ""il"", ""la""], [""allora"", ""insalata"", ""puntarelle"", ""la""]]",8.792428571428573,[],17.67,"[""allora"", ""carota"", ""carote"", ""cavolo"", ""cicoria"", ""cipolla"", ""il"", ""insalata"", ""la"", ""lattuga"", ""melanzana"", ""pomodori"", ""pomodoro"", ""puntarelle"", ""rapa"", ""sedano"", ""verza"", ""zucchina""]"
PNRR-CA-FM-opQYDF3T5,verdura,7.0,7.0,0.5393939393939393,1.1984126984126986,1.1984126984126986,2.0,"[[""prezzemolo"", ""bietola""], [""sedano"", ""bietola""]]",3.5,"[[""prezzemolo"", ""iceberg"", ""pomodori"", ""belga"", ""prezzemolo""], [""finocchi"", ""pomodori""]]",0.5433333333333333,[],8.21,"[""aglio"", ""barbabietola"", ""belga"", ""bietola"", ""carota"", ""cetriolo"", ""cipolla"", ""finocchi"", ""finocchio"", ""lattuga"", ""pomodori"", ""pomodoro"", ""prezzemolo"", ""ravanello"", ""sedano""]"
PNRR-CA-GF-47wm7VCAS,verdura,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,"[[], []]",1.0,"[[""finocchi""], [""gnocchi""]]",0.44666666666666666,[],15.75,"[""aglio"", ""cavolfiore"", ""finocchi"", ""lattuga""]"
PNRR-FE-PNRRFE056-97kH9yAVv,verdura,1.0,1.0,0.29166666666666663,1.5,1.5,1.0,"[[""bietola""], [""radicchio""]]",0.5,"[[""la""], []]",8.849166666666667,[],17.67,"[""bietola"", ""la""]"
